job,cpu_seconds,W,L1,F,Linf,Nmax
V1-00-P,0.0,2180,2398,2840,3,3
V1-00-P,2.574078,2169,2392,2844,3,3
V1-00-P,3.151188,2164,2398,2872,3,3
V1-00-P,3.5342189999999998,2159,2404,2900,3,3
V1-00-P,3.9081189999999997,2156,2416,2948,3,6
V1-00-P,4.385003,2155,2416,2948,3,5
V1-00-P,446.07735099999996,2153,2430,3000,3,8
V1-00-P,3071.464711,2148,2410,2952,3,9
V1-00-PCesc,0.0,2180,2398,2840,3,3
V1-00-PCesc,2.384054,2169,2392,2844,3,3
V1-00-PCesc,2.843066,2164,2398,2872,3,3
V1-00-PCesc,3.263901,2159,2404,2900,3,3
V1-00-PCesc,3.6483269999999997,2156,2416,2948,3,6
V1-00-PCesc,4.063498,2155,2416,2948,3,5
V1-00-PCesc,581.61566,2149,2446,3056,3,8
V1-00-PCesc,1293.8764979999999,2147,2456,3092,3,9
V1-00-PCesc,1294.3011740000002,2146,2458,3100,3,9
V1-00-PCesc,1294.723939,2145,2468,3136,3,11
V1-00-PCesc,2166.985628,2141,2476,3172,3,13
V1-00-PCesc,2841.90189,2140,2504,3268,4,2
V1-00-PCesc,2842.3159859999996,2135,2496,3252,4,2
V1-01-P,0.0,2180,2398,2840,3,3
V1-01-P,36.682306,2178,2418,2904,3,3
V1-01-P,37.17527,2174,2416,2908,3,4
V1-01-P,37.637313999999996,2171,2420,2928,3,5
V1-01-P,162.752779,2169,2392,2844,3,3
V1-01-P,163.17088600000002,2164,2398,2872,3,3
V1-01-P,163.56457699999999,2159,2404,2900,3,3
V1-01-P,164.007463,2155,2416,2948,3,5
V1-01-P,367.087441,2154,2424,2976,3,6
V1-01-P,367.468091,2153,2430,3000,3,8
V1-01-P,1693.159603,2149,2408,2936,3,5
V1-01-P,2150.139551,2147,2418,2972,3,6
V1-01-P,2150.489458,2147,2416,2964,3,5
V1-01-P,2150.946428,2147,2410,2944,3,4
V1-01-P,2276.5506769999997,2146,2428,3004,3,6
V1-01-P,2277.084677,2144,2424,2996,3,6
V1-01-P,2277.5791759999997,2138,2440,3060,3,8
V1-01-P,2326.1135369999997,2134,2436,3056,3,8
V1-01-P,2326.542764,2133,2442,3076,3,8
V1-01-P,2327.0420010000003,2132,2442,3080,3,9
V1-01-P,3240.5068100000003,2126,2460,3156,3,14
V1-01-PCesc,0.0,2180,2398,2840,3,3
V1-01-PCesc,39.507991000000004,2178,2418,2904,3,3
V1-01-PCesc,40.003309,2174,2416,2908,3,4
V1-01-PCesc,40.380825,2171,2420,2928,3,5
V1-01-PCesc,207.682558,2169,2392,2844,3,3
V1-01-PCesc,208.251232,2164,2398,2872,3,3
V1-01-PCesc,208.689032,2159,2404,2900,3,3
V1-01-PCesc,209.147747,2155,2416,2948,3,5
V1-01-PCesc,658.190069,2150,2460,3096,3,8
V1-01-PCesc,1154.538362,2150,2418,2968,3,7
V1-01-PCesc,1155.022579,2149,2408,2936,3,5
V1-01-PCesc,2332.102612,2148,2434,3024,3,9
V1-01-PCesc,2404.337242,2143,2434,3036,3,10
V1-01-PCesc,2470.183467,2138,2436,3052,3,10
V1-02-P,0.0,2180,2398,2840,3,3
V1-02-P,119.513156,2178,2424,2928,3,6
V1-02-P,119.920218,2168,2402,2880,3,5
V1-02-P,120.45014,2163,2408,2908,3,5
V1-02-P,120.932203,2159,2408,2916,3,5
V1-02-P,121.479256,2157,2412,2932,3,5
V1-02-P,122.005032,2155,2420,2960,3,5
V1-02-P,122.413174,2153,2430,3000,3,8
V1-02-P,988.050606,2152,2406,2924,3,5
V1-02-P,988.568222,2151,2412,2944,3,5
V1-02-P,989.0775629999999,2149,2424,2988,3,7
V1-02-P,1430.7708949999999,2146,2428,3004,3,6
V1-02-P,2010.914762,2145,2430,3008,3,4
V1-02-P,2011.430399,2140,2436,3036,3,4
V1-02-P,3151.7373509999998,2139,2458,3124,3,14
V1-02-PCesc,0.0,2180,2398,2840,3,3
V1-02-PCesc,173.16015,2178,2424,2928,3,6
V1-02-PCesc,173.612355,2168,2402,2880,3,5
V1-02-PCesc,174.098366,2163,2408,2908,3,5
V1-02-PCesc,174.539249,2159,2408,2916,3,5
V1-02-PCesc,175.029345,2157,2412,2932,3,5
V1-02-PCesc,175.548578,2155,2420,2960,3,5
V1-02-PCesc,176.04309,2153,2430,3000,3,8
V1-02-PCesc,1740.3972800000001,2150,2460,3096,3,8
V1-02-PCesc,2767.6890919999996,2146,2432,3016,3,6
V1-02-PCesc,3543.2743100000002,2141,2434,3036,4,1
V1-02-PCesc,3543.717568,2139,2436,3048,4,1
V1-03-P,0.0,2180,2398,2840,3,3
V1-03-P,144.10852300000002,2177,2404,2864,3,3
V1-03-P,144.56400100000002,2164,2398,2872,3,3
V1-03-P,144.99275699999998,2159,2404,2900,3,3
V1-03-P,145.537343,2156,2416,2948,3,6
V1-03-P,145.88430400000001,2155,2416,2948,3,5
V1-03-P,271.84797100000003,2153,2430,3000,3,8
V1-03-P,816.753469,2152,2406,2924,3,5
V1-03-P,817.253137,2151,2412,2944,3,5
V1-03-P,817.712851,2149,2424,2988,3,7
V1-03-P,1296.224218,2148,2444,3052,3,8
V1-03-P,1296.701803,2146,2456,3092,3,8
V1-03-P,1297.1771840000001,2145,2452,3080,3,7
V1-03-P,1297.587511,2144,2456,3096,3,8
V1-03-P,1913.4749069999998,2144,2438,3036,3,5
V1-03-P,3470.992029,2143,2458,3108,3,10
V1-03-PCesc,0.0,2180,2398,2840,3,3
V1-03-PCesc,191.40645999999998,2177,2404,2864,3,3
V1-03-PCesc,191.810757,2164,2398,2872,3,3
V1-03-PCesc,192.190942,2159,2404,2900,3,3
V1-03-PCesc,192.68546099999998,2156,2416,2948,3,6
V1-03-PCesc,193.12635799999998,2155,2416,2948,3,5
V1-03-PCesc,345.893902,2153,2430,3000,3,8
V1-03-PCesc,2026.7300659999999,2150,2478,3156,3,11
V1-03-PCesc,2027.220686,2148,2482,3172,3,11
V1-03-PCesc,3104.9963979999998,2147,2444,3056,3,9
V1-03-PCesc,3225.236346,2146,2456,3092,3,8
V1-03-PCesc,3225.639386,2145,2452,3080,3,7
V1-03-PCesc,3226.093573,2144,2456,3096,3,8
V1-04-P,0.0,2180,2398,2840,3,3
V1-04-P,4.884253,2168,2402,2880,3,5
V1-04-P,5.2807759999999995,2163,2408,2908,3,5
V1-04-P,5.673959,2161,2416,2936,3,5
V1-04-P,6.228658,2159,2404,2900,3,3
V1-04-P,6.653222,2156,2416,2948,3,6
V1-04-P,6.999333,2155,2416,2948,3,5
V1-04-P,395.026307,2149,2496,3212,3,11
V1-04-P,1776.7070589999998,2147,2508,3252,3,11
V1-04-PCesc,0.0,2180,2398,2840,3,3
V1-04-PCesc,4.676964,2168,2402,2880,3,5
V1-04-PCesc,5.188967,2163,2408,2908,3,5
V1-04-PCesc,5.693206,2161,2416,2936,3,5
V1-04-PCesc,6.152092000000001,2159,2404,2900,3,3
V1-04-PCesc,6.620086,2156,2416,2948,3,6
V1-04-PCesc,7.129836999999999,2155,2416,2948,3,5
V1-04-PCesc,908.51525,2154,2424,2972,3,4
V1-04-PCesc,908.979718,2152,2418,2960,3,5
V1-04-PCesc,909.512431,2151,2418,2964,3,6
V1-04-PCesc,1300.297619,2150,2460,3096,3,8
V1-04-PCesc,2974.32764,2148,2478,3164,3,13
V1-04-PCesc,2974.765643,2146,2484,3188,3,14
V1-04-PCesc,2975.252595,2146,2474,3156,3,13
V1-05-P,0.0,2180,2398,2840,3,3
V1-05-P,35.180839,2178,2408,2876,3,4
V1-05-P,35.589049,2169,2392,2844,3,3
V1-05-P,36.056271,2164,2398,2872,3,3
V1-05-P,36.546608,2159,2404,2900,3,3
V1-05-P,37.008587000000006,2156,2416,2948,3,6
V1-05-P,37.450614,2155,2416,2948,3,5
V1-05-P,346.058539,2154,2440,3028,3,8
V1-05-P,1161.190982,2153,2430,3000,3,8
V1-05-P,2344.189698,2152,2436,3024,3,10
V1-05-PCesc,0.0,2180,2398,2840,3,3
V1-05-PCesc,34.540547000000004,2178,2408,2876,3,4
V1-05-PCesc,34.944880000000005,2169,2392,2844,3,3
V1-05-PCesc,35.562039,2164,2398,2872,3,3
V1-05-PCesc,36.022812,2159,2404,2900,3,3
V1-05-PCesc,36.465599,2156,2416,2948,3,6
V1-05-PCesc,36.965459,2155,2416,2948,3,5
V1-05-PCesc,411.249694,2153,2430,3000,3,8
V1-05-PCesc,757.745326,2152,2406,2924,3,5
V1-05-PCesc,758.202184,2151,2412,2944,3,5
V1-05-PCesc,758.6924799999999,2149,2424,2988,3,7
V1-05-PCesc,1276.8655430000001,2148,2444,3052,3,8
V1-05-PCesc,1277.318182,2146,2456,3092,3,8
