replicate	seed	P_W	P_L1	T_W	T_L1	TC_W	TC_L1
0	13066739246755516810	2143	2456	2146	2432	2141	2492
1	10736430408105228949	2136	2482	2153	2430	2141	2492
2	12075019074319984293	2146	2474	2153	2430	2141	2492
3	8784334872519884885	2139	2430	2153	2430	2141	2492
4	11492396544507892624	2130	2452	2153	2430	2141	2492
5	3836825322914055362	2144	2504	2148	2562	2141	2492
6	2475884772427737322	2139	2476	2150	2536	2141	2492
7	1063539887069556541	2151	2466	2132	2518	2141	2492
8	1539184063912749368	2139	2430	2145	2504	2141	2492
9	1423794378183781708	2149	2450	2153	2430	2141	2492
10	12677951989324453032	2145	2428	2153	2430	2141	2492
11	1879856566115949509	2133	2468	2138	2516	2141	2492
