run,id,W,L1,F,Linf,Nmax,class,state,last_lex_cpu_s
D,V2-W2102-0,2096,2480,3272,3,12,21c3abcae6e67172f206e5e3226fc6c06c8dd03c27ac2a975ac714b76131d691,f112c54bed6adc21d5035d8c7d9f7d41592bced8d070f80128d88ab8a9ea3413,5951.634660000001
D,V2-W2102-1,2102,2478,3260,3,15,997facadcf00ffc52f7efe8c76887211823462b9842b45b4d16085b14146822b,16f362089adc9f3f2aa5caec41373bff58c16cf06e2484bf827cdce4dd6fcb3f,0.0
D,V2-W2107-0,2102,2478,3260,3,15,997facadcf00ffc52f7efe8c76887211823462b9842b45b4d16085b14146822b,16f362089adc9f3f2aa5caec41373bff58c16cf06e2484bf827cdce4dd6fcb3f,914.64288
D,V2-W2107-1,2102,2478,3260,3,15,997facadcf00ffc52f7efe8c76887211823462b9842b45b4d16085b14146822b,16f362089adc9f3f2aa5caec41373bff58c16cf06e2484bf827cdce4dd6fcb3f,126.70963400000001
D,V2-W2108-0,2102,2478,3260,3,15,997facadcf00ffc52f7efe8c76887211823462b9842b45b4d16085b14146822b,16f362089adc9f3f2aa5caec41373bff58c16cf06e2484bf827cdce4dd6fcb3f,875.983801
D,V2-W2108-1,2101,2450,3172,3,12,c65e7f8bda0f0cb3643b8bb4e0a4edb9704c38a03d149b891cf196133902cec2,8ec17815f1d238c136b9da3c6e0c4c033ea97f816017fe25d1424e7baab65876,4039.936118
D,V3-claude_v01_c-0,2214,2822,4152,4,5,026e06dd907f6eca29ed1eaf43ef82d6ac13485aa82f08a088b590e55484c0fe,918caee2db9166e836b0ddee05ee6bf14fecc9164b72fc27b59dad1d18a55b8a,25123.716556
D,V3-claude_v01_c-1,2203,2748,3936,4,2,e5c93b3ae06c984f1d8ad2b2da414400b6f1a41ae88e2e7f13540e26e266f6f1,0a49a077487bef450d529c07efb126c5d822bd4d53c6585d0d01e889d43ad3e8,20551.079014
D,V3-gen-lambda-03-0,2196,2790,4116,4,4,c473f69e7c0b2156e5edb5cce4d581dd8d7f07cb5e97523c95a200314baff830,006007943404d1ebfe30579a1465ff0f5ba2e34c6474e37ba49739df48dffdb7,22270.150163
D,V3-gen-lambda-03-1,2214,2814,4100,4,3,066e60fd26ab485882efdcc768c94ed90823818a0e3a5a32080a890cd2a76fa7,30e71f8a353df21bd21729299349f251b616c81b8fee30dc3fed674729afdf40,15981.212849
