id	group	variant	target	replicate	seed	mode	old_budget_seconds	cumulative_budget_seconds	additional_cpu_seconds
Pext--W-00	method	P	W	0	13066739246755516810	resume_copy	3600	14400	10800
PC--W-00	method	PC	W	0	13066739246755516810	fresh	0	14400	14400
Pext--W-01	method	P	W	1	10736430408105228949	resume_copy	3600	14400	10800
PC--W-01	method	PC	W	1	10736430408105228949	fresh	0	14400	14400
Pext--W-02	method	P	W	2	12075019074319984293	resume_copy	3600	14400	10800
PC--W-02	method	PC	W	2	12075019074319984293	fresh	0	14400	14400
Pext--W-03	method	P	W	3	8784334872519884885	resume_copy	3600	14400	10800
PC--W-03	method	PC	W	3	8784334872519884885	fresh	0	14400	14400
Pext--W-04	method	P	W	4	11492396544507892624	resume_copy	3600	14400	10800
PC--W-04	method	PC	W	4	11492396544507892624	fresh	0	14400	14400
Pext--W-05	method	P	W	5	3836825322914055362	resume_copy	3600	14400	10800
PC--W-05	method	PC	W	5	3836825322914055362	fresh	0	14400	14400
Pext--W-06	method	P	W	6	2475884772427737322	resume_copy	3600	14400	10800
PC--W-06	method	PC	W	6	2475884772427737322	fresh	0	14400	14400
Pext--W-07	method	P	W	7	1063539887069556541	resume_copy	3600	14400	10800
PC--W-07	method	PC	W	7	1063539887069556541	fresh	0	14400	14400
Pext--W-08	method	P	W	8	1539184063912749368	resume_copy	3600	14400	10800
PC--W-08	method	PC	W	8	1539184063912749368	fresh	0	14400	14400
Pext--W-09	method	P	W	9	1423794378183781708	resume_copy	3600	14400	10800
PC--W-09	method	PC	W	9	1423794378183781708	fresh	0	14400	14400
Pext--W-10	method	P	W	10	12677951989324453032	resume_copy	3600	14400	10800
PC--W-10	method	PC	W	10	12677951989324453032	fresh	0	14400	14400
Pext--W-11	method	P	W	11	1879856566115949509	resume_copy	3600	14400	10800
PC--W-11	method	PC	W	11	1879856566115949509	fresh	0	14400	14400
TCx--W-00	discriminator	TC	W	0	13066739246755516810	resume_copy	3600	14400	10800
TCx--W-01	discriminator	TC	W	1	10736430408105228949	resume_copy	3600	14400	10800
TCx--W-02	discriminator	TC	W	2	12075019074319984293	resume_copy	3600	14400	10800
R-P--W-00	record	P	W	0	11605680574787615685	fresh	0	7200	7200
R-PC--W-00	record	PC	W	0	11605680574787615685	fresh	0	7200	7200
R-P--W-01	record	P	W	1	11794702256882863907	fresh	0	7200	7200
R-PC--W-01	record	PC	W	1	11794702256882863907	fresh	0	7200	7200
R-P--W-02	record	P	W	2	18162897371961028714	fresh	0	7200	7200
R-PC--W-02	record	PC	W	2	18162897371961028714	fresh	0	7200	7200
R-P--Linf-00	record	P	Linf	0	2190965227552798247	fresh	0	7200	7200
R-P--Linf-01	record	P	Linf	1	17413895149057669670	fresh	0	7200	7200
R-P--Linf-02	record	P	Linf	2	18152549014451336792	fresh	0	7200	7200
R-P--Linf-03	record	P	Linf	3	7296808800750587084	fresh	0	7200	7200
R-P--L1-00	record	P	L1	0	15506260527127820087	fresh	0	7200	7200
R-P--L1-01	record	P	L1	1	2365238288840586465	fresh	0	7200	7200
