key	kind	root	frontier_key	cnf	cnf_sha256_recorded	raw_proof_bytes_recorded	raw_proof_sha256_recorded	proof_gz	gzip_bytes_recorded	gzip_bytes_observed	gzip_sha256_recorded	gzip_sha256_observed	lrat_exit_recorded	cake_exit_recorded	roundtrip_decompressed_sha256_recorded
LEAF_D1_000000001_001	LEAF	000000001	D1_000000001_001	/home/rb/conway99_workspace/o3_qsat_runs/task03_triangle_overnight_20260829/cubes/D1_000000001_001.cnf	0b099e2ae3a43a768bf50c3c5a8f0ceb5c27b83f8d670fe574addfbc6df5bef2	2515194135	0572954ab4d1af982c9853997c1e817aaa2d35f31ea2fa5cf0ce90e567762e96	/home/rb/conway99_workspace/o3_qsat_runs/task03_fullcert_1.1_20260829/cert/leaf/D1_000000001_001/proof.lrat.gz	699669515	699669515	d2fc6b0b78067b84f073b1c43f9444607b7f540bdb184927f354379afeb8b01f	d2fc6b0b78067b84f073b1c43f9444607b7f540bdb184927f354379afeb8b01f	0	0	0572954ab4d1af982c9853997c1e817aaa2d35f31ea2fa5cf0ce90e567762e96
LEAF_D1_000000001_010	LEAF	000000001	D1_000000001_010	/home/rb/conway99_workspace/o3_qsat_runs/task03_triangle_overnight_20260829/cubes/D1_000000001_010.cnf	a0ef4dafe14f381e780dea90dd434c24c66bfe2140b74b670dbaa0bbd20c43fc	1603009444	c94b70fb820030b32f91efbed8d940e50a06b48269274aa6f56d489ee4fb6362	/home/rb/conway99_workspace/o3_qsat_runs/task03_fullcert_1.1_20260829/cert/leaf/D1_000000001_010/proof.lrat.gz	419166305	419166305	36fa89fc9f598685a0181531240bafe95b6cba5888a79844c08f94f4188021a5	36fa89fc9f598685a0181531240bafe95b6cba5888a79844c08f94f4188021a5	0	0	c94b70fb820030b32f91efbed8d940e50a06b48269274aa6f56d489ee4fb6362
LEAF_D1_000000001_100	LEAF	000000001	D1_000000001_100	/home/rb/conway99_workspace/o3_qsat_runs/task03_triangle_overnight_20260829/cubes/D1_000000001_100.cnf	6b7aa141c4a946fa0d6c3e602a30814922fbf13392998fddc1669ab9325575bc	1964063574	ec808104073e62f6a79a9a942f4270b931da75690265031940ba160a51e52e1f	/home/rb/conway99_workspace/o3_qsat_runs/task03_fullcert_1.1_20260829/cert/leaf/D1_000000001_100/proof.lrat.gz	542525740	542525740	d6c86fa5ff67e9b9d13a1de5f1b8e49aa266e72b3b050a480fa219ee0f577838	d6c86fa5ff67e9b9d13a1de5f1b8e49aa266e72b3b050a480fa219ee0f577838	0	0	ec808104073e62f6a79a9a942f4270b931da75690265031940ba160a51e52e1f
LEAF_D1_000000100_001	LEAF	000000100	D1_000000100_001	/home/rb/conway99_workspace/o3_qsat_runs/task03_triangle_overnight_20260829/cubes/D1_000000100_001.cnf	00bff332589cac8ba339d287c367bdde522e01b4640a7ba7d0541394cbdd5c40	7314612867	1d0a2183993b77b481c943078f7d3cd411b53ea176bc9d75b236d34020fbf4dc	/home/rb/conway99_workspace/o3_qsat_runs/task03_fullcert_1.1_20260829/cert/leaf/D1_000000100_001/proof.lrat.gz	2073465077	2073465077	632c7f67774a113344d2ddf2b780925340931928c163dcd5b3055ae354af2bf8	632c7f67774a113344d2ddf2b780925340931928c163dcd5b3055ae354af2bf8	0	0	1d0a2183993b77b481c943078f7d3cd411b53ea176bc9d75b236d34020fbf4dc
LEAF_D1_000000100_010	LEAF	000000100	D1_000000100_010	/home/rb/conway99_workspace/o3_qsat_runs/task03_triangle_overnight_20260829/cubes/D1_000000100_010.cnf	f110edb2cb9e76158efc8ab6b3656717adafa92714f5ce5d6fee873802088c3b	1985433907	b5faed8651546a2b19543fa6fe1bd301eb90f1b9735294d1ea4a2443c744a6c0	/home/rb/conway99_workspace/o3_qsat_runs/task03_fullcert_1.1_20260829/cert/leaf/D1_000000100_010/proof.lrat.gz	542864809	542864809	de1e729359c4b76629e57e3d5766da3282b00a1ad3db308a4b9e544c1f669356	de1e729359c4b76629e57e3d5766da3282b00a1ad3db308a4b9e544c1f669356	0	0	b5faed8651546a2b19543fa6fe1bd301eb90f1b9735294d1ea4a2443c744a6c0
LEAF_D1_000000100_100	LEAF	000000100	D1_000000100_100	/home/rb/conway99_workspace/o3_qsat_runs/task03_triangle_overnight_20260829/cubes/D1_000000100_100.cnf	cc0725c3d6cb0c6032387adc99bb62b7e57a947ddec3a0c3461ebba4a12d7cbc	1934252900	2c6bae1d4c411388e259d661d5ba1f6488159bef9c5286dfca194ed14e11215f	/home/rb/conway99_workspace/o3_qsat_runs/task03_fullcert_1.1_20260829/cert/leaf/D1_000000100_100/proof.lrat.gz	542654777	542654777	8601daa1f078d7383835c4368fd8479b2c56eb05d8a819964943f23fd72f34eb	8601daa1f078d7383835c4368fd8479b2c56eb05d8a819964943f23fd72f34eb	0	0	2c6bae1d4c411388e259d661d5ba1f6488159bef9c5286dfca194ed14e11215f
LEAF_D1_000001000_001	LEAF	000001000	D1_000001000_001	/home/rb/conway99_workspace/o3_qsat_runs/task03_triangle_overnight_20260829/cubes/D1_000001000_001.cnf	30e00836c8084b9ff8e23f80f4fe4daf0f1849c65cbdbad5dfcfce1de1042d99	23930703675	f1420b47f3e902754fd400497daaaf3bfd815561a31580a09642f62ae1a1e780	/home/rb/conway99_workspace/o3_qsat_runs/task03_fullcert_1.1_20260829/cert/leaf/D1_000001000_001/proof.lrat.gz	6962682472	6962682472	5a6bf1d105cdb22e97d1a4b70604e8606615167bbf67a08fdbf12bfd48c81154	5a6bf1d105cdb22e97d1a4b70604e8606615167bbf67a08fdbf12bfd48c81154	0	0	f1420b47f3e902754fd400497daaaf3bfd815561a31580a09642f62ae1a1e780
LEAF_D1_000001000_100	LEAF	000001000	D1_000001000_100	/home/rb/conway99_workspace/o3_qsat_runs/task03_triangle_overnight_20260829/cubes/D1_000001000_100.cnf	b391045eb873accbdb950a4040c37ab8db859ac0964f08cecf7bb58a3ac922d8	1193311132	b245d2836a6c11831681ad93dff587a69bf4939e46ef15f6f30c635831ab5f5a	/home/rb/conway99_workspace/o3_qsat_runs/task03_fullcert_1.1_20260829/cert/leaf/D1_000001000_100/proof.lrat.gz	303608238	303608238	3d2560600a13a4ba2cdb64cf3512ff89aba8936d50780a0a67c0c628df0df65c	3d2560600a13a4ba2cdb64cf3512ff89aba8936d50780a0a67c0c628df0df65c	0	0	b245d2836a6c11831681ad93dff587a69bf4939e46ef15f6f30c635831ab5f5a
LEAF_D1_000001001_001	LEAF	000001001	D1_000001001_001	/home/rb/conway99_workspace/o3_qsat_runs/task03_triangle_overnight_20260829/cubes/D1_000001001_001.cnf	3acee12a49175f2fef61c3445f1864ef653554b8f91cca798a48f482aed479dc	1579372979	3c3906679300fadef141635ad1de6044e5e0a4108ddce086998c38eb0cf99699	/home/rb/conway99_workspace/o3_qsat_runs/task03_fullcert_1.1_20260829/cert/leaf/D1_000001001_001/proof.lrat.gz	418560569	418560569	a41e95b0153afdf4135028d2547b90182117ac4ed82ad2e8d630e93c88f27cdc	a41e95b0153afdf4135028d2547b90182117ac4ed82ad2e8d630e93c88f27cdc	0	0	3c3906679300fadef141635ad1de6044e5e0a4108ddce086998c38eb0cf99699
LEAF_D1_000001001_010	LEAF	000001001	D1_000001001_010	/home/rb/conway99_workspace/o3_qsat_runs/task03_triangle_overnight_20260829/cubes/D1_000001001_010.cnf	c3a834ba4af8bd59bee28e7e5de23058480943bf4a14d8d19645a75c1d3c7810	671655369	6c19f13d5ec368d5848f10e95194b1611216de6b38d8630a291c3a7e0e8d8b56	/home/rb/conway99_workspace/o3_qsat_runs/task03_fullcert_1.1_20260829/cert/leaf/D1_000001001_010/proof.lrat.gz	170390439	170390439	3bea54f1c1d65fcb7e5eb26fe5a06827337df8ab5e99adebc98e3841a12b73f1	3bea54f1c1d65fcb7e5eb26fe5a06827337df8ab5e99adebc98e3841a12b73f1	0	0	6c19f13d5ec368d5848f10e95194b1611216de6b38d8630a291c3a7e0e8d8b56
