job_id	tau	cycle_type	seed	cpu	A_status	B_status	A_solve_wall_seconds	B_solve_wall_seconds	A_conflicts	B_conflicts	A_decisions	B_decisions	A_propagations	B_propagations	A_cnf_sha256	B_cnf_sha256
tau06_10-10-7	6	10,10,7	447602456	12	TIMEOUT	TIMEOUT	5880.151922225952	5880.257116317749	6586358	6360957	35033585	34026219	9063087279	8921805189	cc5d6a22f11f46fc69701a2e22ca84f96547bc509fbfe62df7a7c0f719ba3e56	a599e6d13b285425ad346b09a4bd7a7441df3482ef924be2fc0026ea7af793d6
tau06_10-5-3-3-3-3	6	10,5,3,3,3,3	894391180	3	TIMEOUT	TIMEOUT	5880.146347999573	5880.248073577881	10127558	8469762	28787261	34492543	9360825590	11116444733	24799835c74e8477743ffbd5efa11ae53aa17bbe9e6856169cdd534a86f925ff	99b93c345c9d47c161b1019c3d1bd015e2dc6311caaeebde93281e8a3a723a2e
tau06_10-6-5-3-3	6	10,6,5,3,3	1661785296	12	TIMEOUT	TIMEOUT	5880.202354669571	5880.8434937000275	8472008	8611995	39262268	41925503	11765585059	12385628542	dbefc0d5567e3ffd88a98f0fafa744dec0cf73a0bbcc20869ffdd863664a7645	020448049f96be55e53c44fcbeb5e43d455e4c0a98d22b49316a3b7fb49a68e8
tau06_10-6-6-5	6	10,6,6,5	3744730	0	TIMEOUT	TIMEOUT	5880.450728654861	5880.364331007004	6130483	5924288	35342908	33853764	11657077133	11261319573	b9d02cae9d1e63e3f44e88f33c4dd4871af989402638124fa68132a5f4811a9f	32abdc04e6ad6b4023993987607e5861c57c2a38332f60f9cd504729de2e5040
tau06_10-7-5-5	6	10,7,5,5	1856434189	6	TIMEOUT	TIMEOUT	5880.074984073639	5880.722014427185	5938831	7782119	34124157	41231434	11525134249	11135340672	1f2f53f4c00441220df87a634fcd459ba8dd4f363ff7e7d6c8403d474a805e2e	4c1938649e99d0b7453e66d634361872cedf809e5d4673cc4a14d4da69a805b6
tau06_10-7-7-3	6	10,7,7,3	101921219	9	TIMEOUT	TIMEOUT	5880.788285970688	5880.363926410675	7685137	7941652	38109548	39727289	11055958968	11268544070	1ead1a149ece53466245705e2fcaed90f3bcef9a8396813747e02fd40303491e	823309874b132a1d8bc5d8ea941f17502642ea907496d7474ec83119db501a8b
tau06_10-8-3-3-3	6	10,8,3,3,3	2064316664	2	TIMEOUT	TIMEOUT	5880.085737466812	5880.23459649086	9182447	8006513	40226153	35398375	11501954253	11129993830	f86f26b89a9136c0745e8e2c8ca3005fb490d8d1386e44f92c73a04187d225e8	19676e8808cbf9075f78c53e0ee877f90f16d7efac395ae52a527603e30e0bf9
tau06_10-8-6-3	6	10,8,6,3	1496728921	2	TIMEOUT	TIMEOUT	5880.6377584934235	5880.587853193283	6841150	7975265	36471977	40583979	11558403328	11132770669	5ae847227fd358dd1bb8ea51b9cf578f6c0a78400e83bf63a9d15a29fd3abbe5	a0b011e0d79db350a8f78a1771649dd142e7caa33028df9578239b024b6100dd
tau06_10-9-5-3	6	10,9,5,3	1006225159	9	TIMEOUT	TIMEOUT	5880.144580841064	5880.29816198349	8458059	6564785	42803541	34734163	11631046040	11364623864	7a6b88cd385f4a6bd8e9143c88d5db1eaabd69f7af70999485ca53c40a0510ea	5f85f13cce6847b71bd83c86c0e5b875eec3c0a4b926d13854515e804ec2845e
tau06_10-9-8	6	10,9,8	133150745	6	TIMEOUT	TIMEOUT	5880.4188911914825	5880.482480287552	6888312	6394671	36528586	35204513	9747500534	11267932748	ffeb34f417b10594ea17d6be367d1873ce651423ecdfc1df80b23ed4bed03a21	1400d93cf22491761a04655d6a94fca57d912968ac10c4e5360afb416975e252
tau06_11-10-3-3	6	11,10,3,3	1071558087	11	TIMEOUT	TIMEOUT	5880.1006054878235	5880.212737321854	7357904	7021473	37652924	29652909	11674228306	9041898178	49a34ad21d7c8f4539149a330c4eb3eecd833c80c73a22d14b65fec36f5ba9c8	3115b277277c74029074c6a2573ac810388104a6a9737b6ba0c37e46648a9184
tau06_11-10-6	6	11,10,6	432546453	2	TIMEOUT	TIMEOUT	5880.247674465179	5880.239450931549	5694189	5786856	32525618	32807520	11100231277	10808881850	67c9838dc4436820612dfc0d5c797dda4ef18c51eff3e76c3d04357a73dd4604	0278d74267a254df157a7ba94397c75402bfb35b0a72c5945c5e6f7d1960ef68
tau06_11-11-5	6	11,11,5	137540864	19	TIMEOUT	TIMEOUT	5880.816198587418	5880.389165639877	5647277	6555217	31448344	37610995	11226767835	10239851421	a956e58c7861bc547366788a89a0dd19b438c7acdacecddb5b73c0dbaa73d749	c3d896fa24fd43426539bda0151cad6d018632916666059ee3ac299b57ff1379
tau06_11-5-5-3-3	6	11,5,5,3,3	2034131577	3	TIMEOUT	TIMEOUT	5880.338347911835	5880.308534145355	7614914	8228511	38468158	38445783	11101134823	10798295946	42cf17dc83f8d1192eea14d8e0e69d52d2011b95584d6451661f5d64d3ea06d5	397f98b18ae0d3d967d2af423445a2c07dd5dd5560e81b37e289e3ae86e4bdc7
tau06_11-6-5-5	6	11,6,5,5	296671893	5	TIMEOUT	TIMEOUT	5880.923930168152	5881.019414186478	7448572	7715580	41601220	41324557	11306698105	10710510800	a5c7f5907bb24a01c4425a7b5ba5087bb10dc6406a133a9525113e9a0adfb299	f3851d1549dfc67e5b7f03beb18a79226adb5161ad7bdc8ea69bc11651f0b270
tau06_11-7-3-3-3	6	11,7,3,3,3	651543833	15	TIMEOUT	TIMEOUT	5880.122465848923	5881.020584344864	8569051	8133292	38391118	32481861	11638129017	10875403658	1ed7cf3c99edc2b94354113d99242737451f93a20502d435a82d06570aa067da	21d6eb97104609213e1f40c6caa531fd8004b0c53b322d7e07d4c926ed513459
tau06_11-7-6-3	6	11,7,6,3	508791290	9	TIMEOUT	TIMEOUT	5880.971942663193	5880.931587696075	6382419	8128255	36262911	40728427	11435061918	11190251386	8463d4b6c4da72854f7ba5710dc7090d8071018263ba2c7067edf0af7377635e	9f8dc6b6988ce8335210dcec30debd353c8db188f7abb47fad41246ed63f04cc
tau06_11-8-5-3	6	11,8,5,3	1424056692	3	TIMEOUT	TIMEOUT	5880.339823246002	5880.467401027679	6549950	6935813	35480543	35284047	11332463697	10892732877	d587f4c4bf9a15dfef1c6e187646fda445baca742db477d81d750fb351495c3b	64e48a494e48f29dcb3d2e81e6409d14f2be57d00162756c29572a42ecc86c6f
tau06_11-8-8	6	11,8,8	1106996645	15	TIMEOUT	TIMEOUT	5880.591086387634	5880.088616132736	6514500	5904536	36768090	32841213	10434109668	8876279477	1e2414f5f521f31dbee2d0bbaff1b1a907f16a4f4e360a8e37c1fa266d4fe979	dcb8856947f4828b5ba6156b1d1f31c734e986df300787aeeccfb9fad39af08b
tau06_11-9-7	6	11,9,7	3583442	12	TIMEOUT	TIMEOUT	5880.175261259079	5880.090358734131	6951068	6410819	36398132	34632805	10066874843	9258063360	24ca6c977d027ab0c4e368fbd03820ff0d739191e5c655e7b84c61020d4c8e87	118c190321bf8e563e4c9849ff9b5c844265db9da653148f365ca1b30fa0b2ac
tau06_12-10-5	6	12,10,5	1111193470	17	TIMEOUT	TIMEOUT	5880.139813899994	5880.076760292053	6710109	5491149	37747982	30832842	10432085148	11003139705	bce861ae9dab819570c08638665d8069854e7e9b191df7917bdc98be546b4fdc	663992ab1fe5099fc4fa8580b58a7ab0d121e95c14262fef59992d2b7e511c8e
