tau	cycle_type	c3	cm_components	eo_groups	A_variables	A_clauses	B_variables	B_clauses	C_variables	C_clauses	B_added_variables	B_added_clauses	C_added_variables	C_added_clauses	cm_constraints	moment_equalities
6	27	0	1	0	120685	445769	185516	684655	238880	866119	64831	238886	53364	181464	351	2
6	24,3	1	1	30	120637	445701	165737	610958	208129	755118	45100	165257	42392	144160	276	2
6	22,5	0	2	0	120656	445655	155296	571863	193192	700753	34640	126208	37896	128890	241	4
6	21,6	0	2	0	120656	445655	150904	555471	186560	676745	30248	109816	35656	121274	225	4
6	21,3,3	2	1	60	120589	445634	150413	554137	183080	665230	29824	108503	32667	111093	210	2
6	20,7	0	2	0	120656	445655	147061	541128	180764	655764	26405	95473	33703	114636	211	4
6	19,8	0	2	0	120656	445655	143767	528834	175782	637730	23111	83179	32015	108896	199	4
6	19,5,3	1	2	30	120608	445588	142627	525077	171645	623782	22019	79489	29018	98705	181	4
6	18,9	0	2	0	120656	445655	141022	518589	171635	622721	20366	72934	30613	104132	189	4
6	18,6,3	1	2	30	120608	445588	139468	513338	166670	605869	18860	67750	27202	92531	168	4
6	18,3,3,3	3	1	90	120541	445568	138977	512005	163190	594355	18436	66437	24213	82350	153	2
6	17,10	0	2	0	120656	445655	138826	510393	168314	610698	18170	64738	29488	100305	181	4
6	17,7,3	1	2	30	120608	445588	136795	503405	162447	590665	16187	57817	25652	87260	157	4
6	17,5,5	0	3	0	120627	445542	136401	501897	162331	590120	15774	56355	25930	88223	156	6
6	16,11	0	2	0	120656	445655	137179	504246	165837	601730	16523	58591	28658	97484	175	4
6	16,8,3	1	2	30	120608	445588	134608	495278	159020	578324	14000	49690	24412	83046	148	4
6	16,6,5	0	3	0	120627	445542	133959	492855	158363	575891	13332	47313	24404	83036	145	6
6	16,5,3,3	2	2	60	120560	445522	133468	491522	154883	564377	12908	46000	21415	72855	130	4
6	15,12	0	2	0	120656	445655	136081	500148	164181	595735	15425	54493	28100	95587	171	4
6	15,9,3	1	2	30	120608	445588	132907	488957	156322	568613	12299	43369	23415	79656	141	4
6	15,7,5	0	3	0	120627	445542	131961	485457	155097	564181	11334	39915	23136	78724	136	6
6	15,6,6	0	3	0	120627	445542	131844	485040	154837	563276	11217	39498	22993	78236	135	6
6	15,6,3,3	2	2	60	120560	445522	131353	483707	151357	551762	10793	38185	20004	68055	120	4
6	15,3,3,3,3	4	1	120	120493	445503	130862	482375	147877	540249	10369	36872	17015	57874	105	2
6	14,13	0	2	0	120656	445655	135532	498099	163346	592713	14876	52444	27814	94614	169	4
6	14,10,3	1	2	30	120608	445588	131692	484442	154413	561739	11084	38854	22721	77297	136	4
6	14,8,5	0	3	0	120627	445542	130407	479703	152567	555109	9780	34161	22160	75406	129	6
6	14,7,6	0	3	0	120627	445542	130152	478788	152026	553221	9525	33246	21874	74433	127	6
6	14,7,3,3	2	2	60	120560	445522	129661	477455	148546	541707	9101	31933	18885	64252	112	4
6	14,5,5,3	1	3	30	120579	445476	129267	475947	148430	541162	8688	30471	19163	65215	111	6
6	13,11,3	1	2	30	120608	445588	130963	481733	153256	557574	10355	36145	22293	75841	133	4
6	13,9,5	0	3	0	120627	445542	129297	475593	150747	548587	8670	30051	21450	72994	124	6
6	13,8,6	0	3	0	120627	445542	128883	474099	149919	545683	8256	28557	21036	71584	121	6
6	13,8,3,3	2	2	60	120560	445522	128392	472766	146439	534169	7832	27244	18047	61403	106	4
6	13,7,7	0	3	0	120627	445542	128745	473601	149638	544700	8118	28059	20893	71099	120	6
6	13,6,5,3	1	3	30	120579	445476	127743	470343	145782	531736	7164	24867	18039	61393	103	6
