tau	u_size	cycle_type	components	c3	c5	c6	c7	c8	c_ge9	has_c3_lemma_B	has_generic_cm	status
6	27	27	1	0	0	0	0	0	1	0	1	OPEN
6	27	24,3	2	1	0	0	0	0	1	1	1	OPEN
6	27	22,5	2	0	1	0	0	0	1	0	1	OPEN
6	27	21,6	2	0	0	1	0	0	1	0	1	OPEN
6	27	21,3,3	3	2	0	0	0	0	1	1	1	OPEN
6	27	20,7	2	0	0	0	1	0	1	0	1	OPEN
6	27	19,8	2	0	0	0	0	1	1	0	1	OPEN
6	27	19,5,3	3	1	1	0	0	0	1	1	1	OPEN
6	27	18,9	2	0	0	0	0	0	2	0	1	OPEN
6	27	18,6,3	3	1	0	1	0	0	1	1	1	OPEN
6	27	18,3,3,3	4	3	0	0	0	0	1	1	1	OPEN
6	27	17,10	2	0	0	0	0	0	2	0	1	OPEN
6	27	17,7,3	3	1	0	0	1	0	1	1	1	OPEN
6	27	17,5,5	3	0	2	0	0	0	1	0	1	OPEN
6	27	16,11	2	0	0	0	0	0	2	0	1	OPEN
6	27	16,8,3	3	1	0	0	0	1	1	1	1	OPEN
6	27	16,6,5	3	0	1	1	0	0	1	0	1	OPEN
6	27	16,5,3,3	4	2	1	0	0	0	1	1	1	OPEN
6	27	15,12	2	0	0	0	0	0	2	0	1	OPEN
6	27	15,9,3	3	1	0	0	0	0	2	1	1	OPEN
6	27	15,7,5	3	0	1	0	1	0	1	0	1	OPEN
6	27	15,6,6	3	0	0	2	0	0	1	0	1	OPEN
6	27	15,6,3,3	4	2	0	1	0	0	1	1	1	OPEN
6	27	15,3,3,3,3	5	4	0	0	0	0	1	1	1	OPEN
6	27	14,13	2	0	0	0	0	0	2	0	1	OPEN
6	27	14,10,3	3	1	0	0	0	0	2	1	1	OPEN
6	27	14,8,5	3	0	1	0	0	1	1	0	1	OPEN
6	27	14,7,6	3	0	0	1	1	0	1	0	1	OPEN
6	27	14,7,3,3	4	2	0	0	1	0	1	1	1	OPEN
6	27	14,5,5,3	4	1	2	0	0	0	1	1	1	OPEN
6	27	13,11,3	3	1	0	0	0	0	2	1	1	OPEN
6	27	13,9,5	3	0	1	0	0	0	2	0	1	OPEN
6	27	13,8,6	3	0	0	1	0	1	1	0	1	OPEN
6	27	13,8,3,3	4	2	0	0	0	1	1	1	1	OPEN
6	27	13,7,7	3	0	0	0	2	0	1	0	1	OPEN
6	27	13,6,5,3	4	1	1	1	0	0	1	1	1	OPEN
6	27	13,5,3,3,3	5	3	1	0	0	0	1	1	1	OPEN
6	27	12,12,3	3	1	0	0	0	0	2	1	1	OPEN
6	27	12,10,5	3	0	1	0	0	0	2	0	1	OPEN
6	27	12,9,6	3	0	0	1	0	0	2	0	1	OPEN
6	27	12,9,3,3	4	2	0	0	0	0	2	1	1	OPEN
6	27	12,8,7	3	0	0	0	1	1	1	0	1	OPEN
6	27	12,7,5,3	4	1	1	0	1	0	1	1	1	OPEN
6	27	12,6,6,3	4	1	0	2	0	0	1	1	1	OPEN
6	27	12,6,3,3,3	5	3	0	1	0	0	1	1	1	OPEN
6	27	12,5,5,5	4	0	3	0	0	0	1	0	1	OPEN
6	27	12,3,3,3,3,3	6	5	0	0	0	0	1	1	1	OPEN
6	27	11,11,5	3	0	1	0	0	0	2	0	1	OPEN
6	27	11,10,6	3	0	0	1	0	0	2	0	1	OPEN
6	27	11,10,3,3	4	2	0	0	0	0	2	1	1	OPEN
6	27	11,9,7	3	0	0	0	1	0	2	0	1	OPEN
6	27	11,8,8	3	0	0	0	0	2	1	0	1	OPEN
6	27	11,8,5,3	4	1	1	0	0	1	1	1	1	OPEN
6	27	11,7,6,3	4	1	0	1	1	0	1	1	1	OPEN
6	27	11,7,3,3,3	5	3	0	0	1	0	1	1	1	OPEN
6	27	11,6,5,5	4	0	2	1	0	0	1	0	1	OPEN
6	27	11,5,5,3,3	5	2	2	0	0	0	1	1	1	OPEN
