rank	job_id	seed	pilot_conflicts	pilot_solve_wall_seconds
1	tau06_15-3-3-3-3	1263021687	10926950	3720.224533
2	tau06_9-6-3-3-3-3	1434074168	10658299	3720.754884
3	tau13_8-3-3-3-3	1701609618	10501894	3601.265929
4	tau06_6-6-3-3-3-3-3	1709869454	10440330	3720.250181
5	tau06_12-3-3-3-3-3	287676843	10420767	3720.947022
6	tau13_9-6-5	810566115	10288465	3720.154676
7	tau06_9-3-3-3-3-3-3	1666444877	9303515	3699.132484
8	tau13_12-5-3	989042070	9283133	3720.877660
9	tau13_6-6-5-3	100497498	9190431	3720.213118
10	tau13_5-5-5-5	1416516276	9162894	3720.670687
11	tau06_6-3-3-3-3-3-3-3	611256882	9091831	3699.234843
12	tau20_7-6	1285643740	9035998	3720.940925
13	tau06_9-6-6-3-3	1914998575	9001392	3720.814656
14	tau06_11-7-3-3-3	797370318	8669298	3720.910776
15	tau20_8-5	2094909686	8462792	3720.632630
16	tau13_14-6	1562916990	8178653	3720.808034
17	tau20_7-3-3	1067696482	8085218	3601.130270
18	tau06_9-7-5-3-3	1142103749	8055865	3720.828252
19	tau13_7-7-6	145069083	8006315	3699.378922
20	tau20_10-3	617378949	7951233	3601.249374
