objective;arm;founder;n;strictly_improved_lines;changed_lines;start_objective_best;end_objective_best;returned_objective_best;W_start_best;W_end_best;W_ever_returned_best;W_start_mean;W_end_mean;L1_start_best;L1_end_best;L1_ever_returned_best;L1_start_mean;L1_end_mean;F_start_best;F_end_best;F_ever_returned_best;F_start_mean;F_end_mean;Linf_start_best;Linf_end_best;Linf_ever_returned_best;Linf_start_mean;Linf_end_mean
L1;omega;ALL;32;12;12;[2718];[2718];[2718];2110;2114;2110;2273.28125;2289.03125;2718;2718;2718;3227.5;3135.0625;3926;3926;3926;6405.0625;5623.1875;3;3;3;6.46875;6.34375
L1;omega;A_legacy_best_hard;8;0;0;[2718];[2718];[2718];2175;2175;2175;2218.5;2218.5;2718;2718;2718;2788.5;2788.5;3926;3926;3926;4070;4070;4;4;4;4.5;4.5
L1;omega;B_maple_20260829;11;11;11;[3512];[3304];[3298];2110;2114;2110;2219.6363636363635;2266.3636363636365;3512;3304;3298;3660.7272727272725;3392.909090909091;9364;6192;6060;9791.636363636364;7518.909090909091;10;8;8;10;9.636363636363637
L1;omega;H_Z14_invariant_A99;3;1;1;[2940];[2940];[2940];2295;2285;2282;2301.6666666666665;2298.3333333333335;2940;2940;2940;2961.3333333333335;2957.3333333333335;4312;4312;4312;4418;4411.333333333333;3;3;3;3.6666666666666665;3.6666666666666665
L1;omega;H_minus_Z2_template_A99;5;0;0;[3118];[3118];[3118];2341;2341;2331;2369.8;2369.8;3118;3118;3118;3183.6;3183.6;4980;4980;4980;5151.2;5151.2;5;5;5;5;5
L1;omega;H_plus_Z2_template_A99;5;0;0;[3122];[3122];[3118];2331;2331;2331;2365.4;2365.4;3122;3122;3118;3180.4;3180.4;5016;5016;4980;5136.8;5136.8;5;5;5;5;5
L1;lambda;ALL;32;30;30;[2398];[2398];[2398];2182;2182;2182;2499.75;2404.59375;2398;2398;2398;3007.125;2840.5;2836;2836;2836;4105.5;3759.5;3;3;3;3.8125;3.4375
L1;lambda;hog57177;7;7;7;[3742];[3082];[3082];2822;2467;2461;2824.8571428571427;2516.714285714286;3742;3082;3082;3757.4285714285716;3139.714285714286;5832;4408;4408;5886.285714285715;4486.857142857143;4;4;4;4.857142857142857;4
L1;lambda;hog57200;7;7;7;[2916];[2896];[2896];2474;2425;2416;2489.1428571428573;2446.1428571428573;2916;2896;2896;2956.285714285714;2898.5714285714284;3848;3824;3824;3937.714285714286;3857.714285714286;4;4;4;4;4
L1;lambda;hog57271;7;7;7;[2798];[2780];[2780];2420;2378;2378;2451.1428571428573;2393;2798;2780;2780;2850.5714285714284;2790;3580;3584;3580;3687.4285714285716;3610.8571428571427;3;3;3;3.7142857142857144;3
